lat,lon,alt
32.869538,-117.220466,98.2
32.86954,-117.220469,98.3
32.869548,-117.220483,98.4
32.869549,-117.220486,98.3
32.869551,-117.220488,98.3
32.869553,-117.220491,98.3
32.869555,-117.220494,98.3
32.869556,-117.220495,98.2
32.869557,-117.220496,98.2
32.869558,-117.220497,98.2
32.869559,-117.220497,98.2
32.86956,-117.220497,98.2
32.86956,-117.220497,98.3
32.869561,-117.220497,98.2
32.869561,-117.220497,98.3
32.869561,-117.220497,98.3
32.869562,-117.220497,98.2
32.869563,-117.220497,98.2
32.869563,-117.220498,98.2
32.869564,-117.220499,98.2
32.869564,-117.220499,98.2
32.869565,-117.220501,98.2
32.869566,-117.220503,97.4
32.869567,-117.220502,96.9
32.869568,-117.220501,96.8
32.869568,-117.220498,96.6
32.86957,-117.220494,96.5
32.869572,-117.220491,96.3
32.869573,-117.22049,96.3
32.869573,-117.220488,96.2
32.869573,-117.220487,96.2
32.869572,-117.220485,96.1
32.869572,-117.220484,96.1
32.869571,-117.220483,96.0
32.86957,-117.220482,96.0
32.869569,-117.220482,96.1
32.869569,-117.220482,96.1
32.869568,-117.220482,96.1
32.869567,-117.220482,96.1
32.869566,-117.220481,96.1
32.869566,-117.220481,96.1
32.869565,-117.22048,96.0
32.869564,-117.22048,96.0
32.869563,-117.22048,95.9
32.869561,-117.220479,95.9
32.86956,-117.220479,95.8
32.86956,-117.220479,95.7
32.869559,-117.220479,95.6
32.86956,-117.220479,95.6
32.869558,-117.220479,95.6
32.869557,-117.220478,95.6
32.869557,-117.220478,95.5
32.869558,-117.220478,95.5
32.869558,-117.220479,95.5
32.86956,-117.22048,95.5
32.86956,-117.22048,95.6
