lat,lon,alt
32.869572,-117.220493,98.2
32.869571,-117.220493,98.2
32.869571,-117.220492,98.2
32.86957,-117.220492,98.2
32.869567,-117.22049,98.2
32.869567,-117.220489,98.3
32.869565,-117.220489,98.3
32.869564,-117.220489,98.3
32.869561,-117.220488,98.3
32.86956,-117.220487,98.3
32.869558,-117.220486,98.3
32.869555,-117.220485,98.3
32.869554,-117.220485,98.2
32.869553,-117.220485,98.2
32.869552,-117.220485,98.2
32.869552,-117.220485,98.2
32.869551,-117.220485,98.2
32.869551,-117.220485,98.2
32.869551,-117.220485,98.2
32.869551,-117.220485,98.2
32.869551,-117.220484,98.3
32.86955,-117.220482,98.3
32.869549,-117.220481,98.3
32.869548,-117.220479,98.3
32.869547,-117.220478,98.4
32.869546,-117.220477,98.4
32.869545,-117.220473,98.4
32.869541,-117.220468,98.3
32.86954,-117.220466,98.3
32.869539,-117.220463,98.3
32.869538,-117.220462,98.3
32.869538,-117.220462,98.2
32.869539,-117.22046,98.2
32.86954,-117.22046,98.2
32.86954,-117.220459,98.2
32.869541,-117.220458,98.2
32.869542,-117.220458,98.2
32.869542,-117.220456,98.2
32.869544,-117.220454,98.2
32.869545,-117.220452,98.2
32.869546,-117.220452,98.2
32.869546,-117.220451,98.2
32.869546,-117.220451,98.2
32.869545,-117.22045,98.2
32.869544,-117.22045,98.2
32.869544,-117.22045,98.2
32.869544,-117.22045,98.3
32.869543,-117.22045,98.3
32.869542,-117.22045,98.3
32.869541,-117.220451,98.3
32.86954,-117.220451,98.3
32.86954,-117.220451,98.3
32.869539,-117.220451,98.3
32.869537,-117.220451,98.3
32.869536,-117.220451,98.3
32.869536,-117.220452,98.3
32.869535,-117.220453,98.4
32.869535,-117.220453,98.4
32.869535,-117.220455,98.5
