lat,lon,alt
32.869536,-117.220439,93.3
32.869535,-117.220438,93.4
32.869535,-117.220438,93.4
32.869535,-117.220439,93.4
32.869536,-117.220441,93.4
32.869538,-117.220443,93.4
32.86954,-117.220444,93.3
32.869543,-117.220447,93.3
32.869544,-117.220448,93.3
32.869544,-117.220448,93.3
32.869545,-117.220449,93.3
32.869545,-117.220449,93.3
32.869545,-117.22045,93.3
32.869545,-117.220451,93.3
32.869545,-117.220451,93.4
32.869544,-117.220453,93.3
32.869545,-117.220456,93.3
32.869546,-117.220457,93.3
32.869547,-117.22046,93.3
32.869548,-117.220461,93.3
32.869548,-117.220462,93.4
32.869549,-117.220463,93.4
32.869549,-117.220463,93.4
32.869549,-117.220464,93.4
32.869549,-117.220464,93.4
32.869549,-117.220465,93.4
32.869549,-117.220465,93.5
32.869549,-117.220465,93.5
32.86955,-117.220465,93.5
32.86955,-117.220464,93.4
32.86955,-117.220464,93.4
32.86955,-117.220464,93.4
32.86955,-117.220464,93.4
32.86955,-117.220464,93.4
32.86955,-117.220464,93.4
32.86955,-117.220464,93.3
32.86955,-117.220464,93.4
32.86955,-117.220463,93.4
32.86955,-117.220461,93.4
32.869551,-117.220461,93.4
32.869551,-117.220461,93.4
32.86955,-117.220461,93.3
32.86955,-117.220461,93.3
32.86955,-117.22046,93.4
32.869549,-117.220457,93.3
32.869547,-117.220457,93.3
32.869545,-117.220456,93.3
32.869543,-117.220456,93.3
32.869541,-117.220456,93.3
32.869539,-117.220456,93.3
32.869538,-117.220457,93.3
32.869536,-117.220457,93.4
32.869535,-117.220457,93.5
32.869535,-117.220458,93.5
32.869533,-117.220459,93.6
