lat,lon,alt
32.869559,-117.220487,95.6
32.869557,-117.220484,95.6
32.869556,-117.220485,95.7
32.869554,-117.220485,95.7
32.869552,-117.220485,95.7
32.869552,-117.220484,95.6
32.869551,-117.220484,95.6
32.86955,-117.220482,95.3
32.869549,-117.220481,95.1
32.869548,-117.22048,94.8
32.869547,-117.220478,94.7
32.869546,-117.220477,94.7
32.869545,-117.220475,94.5
32.869544,-117.220475,94.4
32.869545,-117.220474,94.2
32.869545,-117.220474,94.0
32.869545,-117.220474,93.8
32.869545,-117.220474,93.7
32.869546,-117.220473,93.5
32.869546,-117.220473,93.4
32.869546,-117.220473,93.2
32.869547,-117.220473,93.1
32.869547,-117.220473,93.1
32.869548,-117.22047,93.0
32.869549,-117.220468,93.0
32.869549,-117.220466,92.9
32.869548,-117.220465,92.9
32.869547,-117.220463,92.9
32.869546,-117.220461,92.9
32.869545,-117.220459,92.9
32.869544,-117.220458,93.0
32.869543,-117.220457,93.0
32.869542,-117.220456,92.9
32.86954,-117.220455,92.9
32.869538,-117.220454,93.0
32.869537,-117.220453,93.0
32.869536,-117.220453,93.0
32.869535,-117.220453,92.9
32.869535,-117.220453,92.9
32.869533,-117.220452,92.8
32.869532,-117.22045,92.8
32.869532,-117.220451,92.9
32.869533,-117.220451,92.9
32.869533,-117.22045,93.0
32.869534,-117.22045,93.0
32.869534,-117.220449,93.0
32.869534,-117.220448,93.0
32.869534,-117.220448,92.9
32.869534,-117.220448,92.8
32.869534,-117.220448,92.8
32.869535,-117.220448,92.7
32.869535,-117.220448,92.7
32.869536,-117.220448,92.6
