lat,lon,alt
32.869577,-117.220544,94.2
32.869578,-117.220544,94.1
32.869579,-117.220544,94.0
32.86958,-117.220543,94.0
32.869581,-117.220543,94.3
32.869581,-117.220543,94.7
32.869582,-117.220542,94.9
32.869582,-117.220542,95.1
32.869582,-117.220542,95.3
32.869583,-117.220542,95.4
32.869583,-117.220542,95.5
32.869583,-117.220543,95.6
32.869584,-117.220544,95.8
32.869584,-117.220545,95.9
32.869584,-117.220546,96.0
32.869585,-117.220546,96.1
32.869585,-117.220547,96.2
32.869585,-117.220547,96.2
32.869585,-117.220547,96.3
32.869586,-117.220546,96.4
32.869586,-117.220547,96.6
32.869586,-117.220547,96.8
32.869586,-117.220548,96.9
32.869585,-117.220549,96.9
32.869585,-117.22055,97.1
32.869585,-117.220551,97.1
32.869584,-117.220551,97.2
32.869584,-117.220551,97.2
32.869584,-117.220551,97.2
32.869583,-117.220551,97.3
32.869583,-117.220551,97.3
32.869583,-117.220551,97.3
32.869583,-117.220551,97.3
32.869581,-117.220553,97.5
32.86958,-117.220555,97.8
32.869579,-117.220557,98.2
32.869578,-117.220559,98.4
32.869577,-117.220561,98.5
32.869574,-117.220559,98.6
32.869574,-117.220556,99.0
32.869574,-117.220552,99.1
32.869574,-117.220548,98.9
32.869574,-117.220546,98.9
32.869574,-117.220545,99.0
32.869574,-117.220543,99.0
32.869575,-117.220542,99.0
32.869575,-117.220541,99.1
32.869576,-117.22054,99.1
32.869576,-117.22054,99.0
32.869577,-117.22054,99.0
32.869577,-117.22054,99.0
32.869578,-117.22054,99.0
32.869578,-117.22054,98.9
32.869579,-117.220541,98.9
32.869579,-117.220541,99.0
32.869579,-117.220541,99.0
32.869579,-117.220542,99.0
32.86958,-117.220543,99.0
32.86958,-117.220543,99.0
32.86958,-117.220544,99.0
32.86958,-117.220545,99.0
32.86958,-117.220545,98.9
32.86958,-117.220545,98.9
32.86958,-117.220546,99.0
32.869581,-117.220546,99.1
32.869581,-117.220546,99.1
32.869581,-117.220546,99.2
32.869581,-117.220546,99.2
32.869581,-117.220546,99.3
32.869581,-117.220546,99.4
32.869581,-117.220545,99.4
32.869582,-117.220545,99.5
32.869582,-117.220544,99.5
32.869582,-117.220544,99.5
32.869582,-117.220544,99.5
32.869582,-117.220545,99.6
