lat,lon,alt
32.869568,-117.220509,98.3
32.869566,-117.220508,98.3
32.869569,-117.220505,98.2
32.869573,-117.220511,99.0
32.869575,-117.220526,99.0
32.869577,-117.22055,99.3
32.869578,-117.220559,99.4
32.869578,-117.220571,99.2
32.86958,-117.220581,99.0
32.86958,-117.22059,98.8
32.869581,-117.2206,98.7
32.869582,-117.220612,98.5
32.869583,-117.220623,98.4
32.869583,-117.220635,98.2
32.869583,-117.220656,98.0
32.869583,-117.220688,97.8
32.869583,-117.220711,97.7
32.869582,-117.220727,97.6
32.869582,-117.220739,98.0
32.869582,-117.220754,98.0
32.869581,-117.220763,98.0
32.869582,-117.220775,98.0
32.869582,-117.220783,98.0
32.869583,-117.220794,98.0
32.869585,-117.220804,98.0
32.869585,-117.220819,98.0
32.869584,-117.220811,97.7
32.869583,-117.220796,97.6
32.869583,-117.22078,97.7
32.869583,-117.220767,97.7
32.869584,-117.220754,97.7
32.869585,-117.220744,97.7
32.869586,-117.220733,97.8
32.869586,-117.22072,97.8
32.869585,-117.22071,97.9
32.869586,-117.220696,97.9
32.869586,-117.220685,97.7
32.869585,-117.220674,97.8
32.869585,-117.220655,97.9
32.869585,-117.220644,97.9
32.869585,-117.220631,98.0
32.869585,-117.220618,98.0
32.869585,-117.220606,97.9
32.869586,-117.220591,97.9
32.869586,-117.220571,98.0
32.869588,-117.220553,97.9
32.869588,-117.220534,97.6
32.86959,-117.220519,97.6
32.869591,-117.220516,97.0
32.869591,-117.220515,97.5
32.869592,-117.220514,97.8
32.869594,-117.220513,98.0
32.869596,-117.220512,98.0
32.869597,-117.220512,98.0
32.869599,-117.22051,98.1
32.8696,-117.22051,98.1
32.8696,-117.220509,98.1
32.869602,-117.22051,98.1
32.869602,-117.22051,98.2
