lat,lon,alt
32.869554,-117.220478,94.9
32.869552,-117.220478,94.9
32.869554,-117.220478,95.3
32.869562,-117.220489,95.9
32.869568,-117.220503,95.5
32.869568,-117.220515,95.4
32.869568,-117.220529,95.9
32.869571,-117.220543,95.8
32.869573,-117.220558,95.9
32.869575,-117.220571,95.7
32.869575,-117.220584,95.7
32.869577,-117.220596,95.6
32.869578,-117.220606,95.5
32.869579,-117.220616,95.5
32.869581,-117.220629,95.5
32.869582,-117.22064,95.3
32.869583,-117.22065,95.2
32.869583,-117.220659,95.2
32.869583,-117.220666,95.2
32.869584,-117.220675,95.2
32.869585,-117.220683,94.8
32.869585,-117.220697,95.3
32.869585,-117.220711,95.3
32.869585,-117.220719,95.2
32.869585,-117.22073,95.1
32.869586,-117.220741,95.2
32.869586,-117.220753,95.2
32.869585,-117.220769,94.9
32.869586,-117.22078,94.6
32.869587,-117.22079,94.5
32.869589,-117.220803,94.5
32.86959,-117.220811,94.6
32.869591,-117.220818,94.6
32.869591,-117.220821,94.6
32.869588,-117.220819,94.4
32.86959,-117.220813,94.0
32.86959,-117.220805,94.0
32.86959,-117.220794,94.2
32.86959,-117.220781,94.2
32.869591,-117.22077,94.2
32.869591,-117.22076,94.3
32.869592,-117.22075,94.2
32.869591,-117.220738,94.3
32.869592,-117.220729,94.1
32.869592,-117.220719,94.0
32.869591,-117.22071,94.1
32.86959,-117.220698,94.1
32.86959,-117.220686,94.0
32.869589,-117.220675,94.0
32.86959,-117.220665,94.1
32.869589,-117.220655,94.3
32.869589,-117.220642,94.3
32.86959,-117.220626,94.3
32.869589,-117.220608,94.3
32.869592,-117.220588,94.2
32.869591,-117.220572,94.1
32.869591,-117.22056,93.9
32.869591,-117.220544,93.7
32.869589,-117.220525,93.6
32.869589,-117.220516,93.1
32.869589,-117.220513,92.9
32.869589,-117.220513,93.2
32.869586,-117.220512,93.6
32.869584,-117.220511,93.8
32.869581,-117.22051,93.8
32.86958,-117.22051,93.8
