lat,lon,alt
32.869564,-117.220488,97.2
32.869564,-117.220488,97.3
32.869562,-117.220486,97.8
32.869562,-117.220487,97.8
32.869562,-117.220487,97.8
32.869561,-117.220489,97.6
32.869561,-117.220494,97.5
32.869564,-117.220497,97.4
32.869563,-117.220498,97.2
32.869563,-117.220502,97.1
32.869564,-117.220517,97.9
32.869567,-117.220537,97.4
32.869571,-117.220557,97.0
32.869571,-117.220576,96.8
32.869571,-117.220592,96.6
32.869572,-117.220605,97.1
32.869573,-117.220616,97.0
32.869573,-117.220624,96.6
32.869574,-117.220634,96.7
32.869574,-117.220642,96.6
32.869574,-117.220653,96.5
32.869574,-117.220662,96.1
32.869576,-117.220673,96.1
32.869576,-117.220684,96.2
32.869577,-117.220699,96.1
32.869577,-117.220715,96.0
32.869577,-117.220733,96.0
32.869578,-117.220748,95.7
32.869581,-117.220769,95.5
32.869582,-117.22078,95.6
32.869583,-117.220792,95.6
32.869581,-117.220805,95.4
32.869577,-117.220823,95.5
32.869574,-117.220818,95.0
32.86958,-117.220809,94.8
32.86958,-117.2208,94.8
32.869582,-117.220791,94.8
32.869582,-117.22078,94.8
32.869582,-117.220766,95.0
32.869581,-117.220749,95.2
32.869585,-117.22073,95.3
32.869587,-117.220706,95.2
32.869587,-117.220684,95.4
32.869585,-117.22066,95.3
32.869584,-117.220642,95.3
32.869582,-117.220628,95.4
32.869582,-117.220614,95.4
32.86958,-117.220603,95.4
32.869578,-117.220592,95.4
32.869577,-117.220579,95.4
32.869576,-117.220566,95.4
32.869574,-117.220556,95.3
32.869574,-117.220547,95.3
32.869574,-117.220536,95.3
32.869575,-117.220529,95.3
32.869577,-117.220518,95.3
32.869576,-117.220508,95.1
32.869577,-117.220503,94.2
32.869576,-117.2205,94.3
32.869574,-117.220498,94.7
32.869573,-117.220496,94.9
32.869572,-117.220494,95.2
32.869571,-117.220492,95.3
32.86957,-117.22049,95.3
32.86957,-117.220488,95.4
32.86957,-117.220486,95.4
