lat,lon,alt
32.869577,-117.220494,96.9
32.869577,-117.220495,97.0
32.869577,-117.220495,97.0
32.869577,-117.220496,97.1
32.869577,-117.220496,97.1
32.869576,-117.220496,97.1
32.869576,-117.220496,97.1
32.869575,-117.220496,97.2
32.86957,-117.220492,98.0
32.86957,-117.220492,97.9
32.869569,-117.22049,97.9
32.869569,-117.220497,97.8
32.869575,-117.220504,97.6
32.869576,-117.220507,97.6
32.869578,-117.220511,97.5
32.869577,-117.22052,97.4
32.869576,-117.22053,97.7
32.869576,-117.220541,98.1
32.869578,-117.220556,98.1
32.869581,-117.22057,97.9
32.869582,-117.220584,97.6
32.869582,-117.220596,97.5
32.869583,-117.220606,97.4
32.869584,-117.220618,97.3
32.869585,-117.22063,97.0
32.869585,-117.220638,97.0
32.869585,-117.220648,97.3
32.869585,-117.220658,97.3
32.869585,-117.220668,97.5
32.869586,-117.220678,97.4
32.869586,-117.22069,96.9
32.869586,-117.220705,97.5
32.869586,-117.220722,97.8
32.869585,-117.220738,97.8
32.869585,-117.220754,98.0
32.869585,-117.22076,98.1
32.869586,-117.220777,98.1
32.869587,-117.220783,98.2
32.869587,-117.220798,98.3
32.869587,-117.220808,98.4
32.869588,-117.220814,98.4
32.869588,-117.22082,98.4
32.869588,-117.220827,98.5
32.869582,-117.22083,98.7
32.869583,-117.220821,98.3
32.869585,-117.22081,98.1
32.869585,-117.220799,98.2
32.869585,-117.220783,98.3
32.869586,-117.220766,98.3
32.869585,-117.220749,98.3
32.869586,-117.220732,98.4
32.869585,-117.220711,98.2
32.869585,-117.2207,98.2
32.869585,-117.220688,98.2
32.869585,-117.220677,98.1
32.869585,-117.220664,97.9
32.869586,-117.220652,97.7
32.869585,-117.220639,97.7
32.869585,-117.220628,97.6
32.869584,-117.220617,97.6
32.869583,-117.220603,97.7
32.869582,-117.220586,97.8
32.869582,-117.220566,97.9
32.869581,-117.220545,97.9
32.869585,-117.220528,97.8
32.869585,-117.22052,97.6
32.869585,-117.220512,97.4
32.869585,-117.220512,96.7
32.869583,-117.22051,97.0
32.869583,-117.220509,97.2
32.869582,-117.220507,97.5
32.869582,-117.220506,97.4
32.869582,-117.220506,97.4
32.869582,-117.220506,97.4
32.869581,-117.220505,97.4
32.86958,-117.220505,97.4
32.869578,-117.220503,97.4
32.869576,-117.220502,97.4
32.869575,-117.220501,97.5
32.869573,-117.220499,97.4
32.86957,-117.220495,97.4
32.869567,-117.220492,97.4
32.869566,-117.220487,97.3
32.869566,-117.220485,97.2
32.869565,-117.220484,97.1
32.869565,-117.220483,97.1
32.869564,-117.220482,97.0
32.869563,-117.220482,96.9
32.869563,-117.220481,97.0
32.869563,-117.220481,97.0
32.869563,-117.220481,97.1
