lat,lon,alt
32.869573,-117.220528,94.2
32.869574,-117.220529,94.4
32.869575,-117.22053,95.2
32.869576,-117.220541,94.7
32.869575,-117.220549,95.0
32.869576,-117.220559,94.6
32.869576,-117.22057,94.4
32.869577,-117.220574,94.4
32.869577,-117.220581,94.2
32.869577,-117.220587,94.2
32.869577,-117.220597,94.2
32.869578,-117.220603,94.2
32.869577,-117.220614,94.0
32.869577,-117.220629,94.0
32.869577,-117.22064,94.1
32.869578,-117.220653,94.0
32.869578,-117.220665,94.0
32.869578,-117.220677,93.6
32.869578,-117.220689,94.2
32.869578,-117.220699,94.2
32.869577,-117.22071,94.2
32.869577,-117.220721,94.4
32.869577,-117.22073,94.6
32.869578,-117.220741,94.7
32.869578,-117.220752,94.9
32.869578,-117.220763,94.8
32.869577,-117.220772,94.9
32.869577,-117.220782,94.9
32.869578,-117.220794,94.9
32.869578,-117.220808,94.8
32.869571,-117.220814,94.3
32.869575,-117.220802,94.2
32.869575,-117.220788,94.5
32.869576,-117.220779,94.7
32.869577,-117.220774,94.7
32.869578,-117.220768,94.9
32.869578,-117.220755,95.0
32.86958,-117.220744,94.9
32.869581,-117.220731,94.9
32.869581,-117.220724,94.8
32.869581,-117.220718,94.8
32.869581,-117.220711,94.8
32.869583,-117.220701,94.9
32.869583,-117.220691,94.9
32.869584,-117.220684,94.8
32.869585,-117.22068,94.9
32.869585,-117.220674,94.9
32.869586,-117.22067,94.9
32.869586,-117.22066,95.0
32.869587,-117.220648,94.9
32.869587,-117.220644,95.0
32.869587,-117.220637,95.0
32.869588,-117.220626,94.9
32.869588,-117.220616,94.9
32.869589,-117.220606,94.9
32.869589,-117.220593,95.1
32.86959,-117.22058,95.1
32.869589,-117.220561,95.0
32.869589,-117.220542,94.9
32.869588,-117.220524,94.8
32.86959,-117.220521,94.7
