lat,lon,alt
32.869556,-117.220501,94.6
32.869557,-117.220497,94.5
32.869559,-117.220495,94.4
32.869557,-117.220491,95.1
32.869556,-117.220491,95.0
32.869553,-117.220491,94.7
32.869556,-117.220504,94.6
32.869559,-117.220517,94.7
32.869562,-117.220529,95.0
32.869564,-117.22054,95.3
32.869565,-117.220552,94.9
32.869567,-117.220563,94.7
32.869569,-117.220576,94.5
32.869571,-117.220588,94.4
32.869573,-117.220598,94.4
32.869574,-117.220609,94.4
32.869575,-117.220619,94.4
32.869576,-117.22063,94.4
32.869577,-117.22064,94.4
32.869577,-117.220648,94.4
32.869577,-117.22066,94.5
32.869578,-117.220672,94.7
32.869579,-117.220685,94.7
32.86958,-117.220694,95.6
32.86958,-117.220707,95.7
32.86958,-117.220718,95.5
32.869581,-117.22073,95.2
32.869582,-117.220743,95.1
32.869582,-117.220753,95.0
32.869583,-117.220763,95.0
32.869584,-117.220772,95.0
32.869585,-117.220782,95.1
32.869586,-117.220791,95.0
32.869588,-117.220807,95.1
32.869589,-117.220813,95.0
32.869589,-117.220823,95.0
32.869585,-117.220821,94.8
32.869588,-117.220811,94.3
32.869588,-117.220803,94.4
32.869589,-117.220791,94.6
32.86959,-117.220782,94.7
32.869592,-117.22077,94.8
32.869593,-117.220763,94.9
32.869594,-117.220745,94.9
32.869594,-117.220731,94.9
32.869595,-117.220726,94.9
32.869594,-117.22071,95.0
32.869594,-117.220705,94.9
32.869593,-117.220692,95.0
32.869593,-117.220685,94.9
32.869594,-117.220675,94.9
32.869594,-117.220667,95.0
32.869594,-117.220658,95.0
32.869594,-117.220647,95.0
32.869593,-117.220633,95.1
32.869594,-117.220615,95.1
32.869593,-117.220594,95.2
32.869593,-117.220575,95.0
32.869592,-117.220557,95.1
32.869591,-117.220539,95.2
32.86959,-117.220527,95.3
32.869589,-117.220519,95.3
32.86959,-117.220514,95.3
32.86959,-117.220513,95.3
32.869591,-117.220513,94.7
32.869591,-117.220512,94.9
32.869591,-117.220511,95.1
32.869591,-117.220511,95.3
32.869591,-117.22051,95.4
32.869592,-117.22051,95.5
32.869592,-117.220511,95.6
32.869592,-117.22051,95.7
32.869592,-117.22051,95.7
32.869592,-117.220509,95.7
32.869592,-117.220508,95.7
32.869589,-117.220505,95.8
32.869588,-117.220503,95.7
32.869587,-117.220501,95.8
32.869587,-117.2205,95.8
32.869588,-117.2205,95.8
32.869588,-117.220499,95.8
32.869588,-117.220498,95.8
32.869588,-117.220498,95.8
32.869589,-117.220498,95.8
32.869588,-117.220497,95.8
